population,l,w,h,w/l,h/l,w/h,bg,rpclass,rpcolor,periostracum
Sasyk 2013,14.93,4.67,8.94,0.3128,0.5988,0.5224,white,B0a,black,absent
Sasyk 2013,15.26,5.01,9.22,0.3283,0.6042,0.5434,white,A0,NA,absent
Sasyk 2013,15.78,5.26,9.71,0.3333,0.6153,0.5417,white&gray,A0,NA,partial
Sasyk 2013,17.23,5.37,10.99,0.3117,0.6378,0.4886,white,B1a,black,partial
Sasyk 2013,15.87,4.65,9.53,0.2930,0.6005,0.4879,white,A0,NA,absent
Sasyk 2013,13.04,4.17,7.91,0.3198,0.6066,0.5272,white,A0,NA,partial
Sasyk 2013,13.55,5.68,8.59,0.4192,0.6339,0.6612,white&gray,A0,NA,full
Sasyk 2013,16.28,4.98,9.45,0.3059,0.5805,0.5270,white,A0,NA,partial
Sasyk 2013,14.14,4.62,8.76,0.3267,0.6195,0.5274,white,A0,NA,absent
Sasyk 2013,14.70,4.85,9.20,0.3299,0.6259,0.5272,white,B0a,black,full
Sasyk 2013,15.67,4.61,9.74,0.2942,0.6216,0.4733,white&purple,A0,NA,absent
Sasyk 2013,16.54,5.09,9.79,0.3077,0.5919,0.5199,white,A0,NA,partial
Sasyk 2013,14.41,4.47,8.30,0.3102,0.5760,0.5386,white,A0,NA,full
Sasyk 2013,13.58,4.50,8.67,0.3314,0.6384,0.5190,white,A1,black,absent
Sasyk 2013,16.28,5.54,9.74,0.3403,0.5983,0.5688,white,A0,NA,partial
Sasyk 2013,15.64,4.81,9.55,0.3075,0.6106,0.5037,white,A0,NA,full
Sasyk 2013,15.16,4.83,9.45,0.3186,0.6234,0.5111,white,A0,NA,absent
Sasyk 2013,17.77,5.75,10.65,0.3236,0.5993,0.5399,white&gray,A0,NA,partial
Sasyk 2013,15.46,5.04,9.45,0.3260,0.6113,0.5333,white,A0,NA,partial
Sasyk 2013,15.60,5.05,9.47,0.3237,0.6071,0.5333,white,B0a,black,partial
Sasyk 2013,13.40,4.13,8.20,0.3082,0.6119,0.5037,white,A0,NA,full
Sasyk 2013,15.44,4.67,8.94,0.3025,0.5790,0.5224,gray,A1,brown,full
Sasyk 2013,14.70,4.32,8.30,0.2939,0.5646,0.5205,gray,A0,NA,partial
Sasyk 2013,14.35,4.35,8.44,0.3031,0.5882,0.5154,white,A0,NA,full
Sasyk 2013,13.20,4.22,8.18,0.3197,0.6197,0.5159,white,A0,NA,partial
Sasyk 2013,14.74,4.90,9.39,0.3324,0.6370,0.5218,white,B0a,black,partial
Sasyk 2013,15.88,4.84,9.27,0.3048,0.5838,0.5221,gray,A1,yellow,partial
Sasyk 2013,14.45,4.57,9.02,0.3163,0.6242,0.5067,white,A0,NA,partial
Sasyk 2013,14.42,4.62,8.71,0.3204,0.6040,0.5304,white,B0a,black,partial
Sasyk 2013,17.48,5.81,11.88,0.3324,0.6796,0.4891,white,D1,brown,partial
Sasyk 2013,14.70,4.88,9.40,0.3320,0.6395,0.5191,white&gray,A0,NA,partial
Sasyk 2013,16.61,5.33,10.00,0.3209,0.6020,0.5330,purple,A0,NA,partial
Sasyk 2013,19.13,6.31,11.36,0.3298,0.5938,0.5555,white,A0,NA,partial
Sasyk 2013,14.02,4.36,8.55,0.3110,0.6098,0.5099,white,A0,NA,partial
Sasyk 2013,13.45,3.85,8.01,0.2862,0.5955,0.4806,white&purple,A0,NA,partial
Sasyk 2013,14.51,4.75,9.05,0.3274,0.6237,0.5249,white,A1,grey,partial
Sasyk 2013,13.80,4.60,8.78,0.3333,0.6362,0.5239,white,A1,black,partial
Sasyk 2013,13.79,4.46,8.46,0.3234,0.6135,0.5272,white,A0,NA,full
Sasyk 2013,15.20,4.76,7.76,0.3132,0.5105,0.6134,purple,D0,brown,partial
Sasyk 2013,15.60,4.59,9.19,0.2942,0.5891,0.4995,white,A0,NA,partial
Sasyk 2013,16.02,5.09,9.31,0.3177,0.5811,0.5467,white,A1,black,partial
Sasyk 2013,13.23,4.26,8.16,0.3220,0.6168,0.5221,white&gray,B1a,violet,absent
Sasyk 2013,16.10,4.65,9.08,0.2888,0.5640,0.5121,gray&purple,B0a,black,full
Sasyk 2013,14.15,4.50,8.82,0.3180,0.6233,0.5102,white,A0,NA,partial
Sasyk 2013,14.27,4.62,8.57,0.3238,0.6006,0.5391,white,B0a,black,partial
Sasyk 2013,14.29,4.65,8.60,0.3254,0.6018,0.5407,white,A0,NA,partial
Sasyk 2013,13.63,4.54,8.35,0.3331,0.6126,0.5437,white,A0,NA,partial
Sasyk 2013,13.19,4.28,8.33,0.3245,0.6315,0.5138,white,A1,brown,partial
Sasyk 2013,13.91,4.63,8.67,0.3329,0.6233,0.5340,white,B0a,black,partial
Sasyk 2013,12.96,4.52,8.77,0.3488,0.6767,0.5154,gray,A0,NA,absent
Sasyk 2013,15.88,4.94,10.29,0.3111,0.6480,0.4801,white,A0,NA,partial
Sasyk 2013,14.90,4.45,8.91,0.2987,0.5980,0.4994,white&gray,B1a,black,absent
Sasyk 2013,13.63,4.21,8.40,0.3089,0.6163,0.5012,white,A0,NA,absent
Sasyk 2013,15.91,5.30,10.23,0.3331,0.6430,0.5181,white,A0,NA,partial
Sasyk 2013,12.78,3.91,7.49,0.3059,0.5861,0.5220,white,A0,NA,partial
Sasyk 2013,13.38,4.52,8.42,0.3378,0.6293,0.5368,white,A0,NA,partial
Sasyk 2013,13.27,4.24,8.05,0.3195,0.6066,0.5267,white,A1,black,absent
Sasyk 2013,15.05,4.46,8.87,0.2963,0.5894,0.5028,white,A0,NA,partial
Sasyk 2013,12.52,3.98,7.53,0.3179,0.6014,0.5286,white,A0,NA,partial
Sasyk 2013,15.36,4.47,9.12,0.2910,0.5938,0.4901,white,A0,NA,full
Sasyk 2013,14.98,4.44,9.03,0.2964,0.6028,0.4917,white,B1a,grey,partial
Sasyk 2013,14.55,4.14,8.60,0.2845,0.5911,0.4814,white,B0a,brown,partial
Sasyk 2013,14.60,4.54,8.95,0.3110,0.6130,0.5073,white,B1a,white,partial
Sasyk 2013,12.32,4.23,7.84,0.3433,0.6364,0.5395,white,A0,NA,partial
Sasyk 2013,13.01,4.38,8.28,0.3367,0.6364,0.5290,gray,A0,NA,absent
Sasyk 2013,13.23,4.17,8.00,0.3152,0.6047,0.5213,white&purple,A0,NA,partial
Sasyk 2013,13.27,4.04,8.10,0.3044,0.6104,0.4988,white,B0a,black,full
Sasyk 2013,12.86,4.32,8.07,0.3359,0.6275,0.5353,white,A1,black,partial
Sasyk 2013,12.56,4.14,7.45,0.3296,0.5932,0.5557,white,B0c,black,partial
Sasyk 2013,14.05,4.36,8.31,0.3103,0.5915,0.5247,white,B0a,black,full
Sasyk 2013,14.98,4.88,9.41,0.3258,0.6282,0.5186,white,A0,NA,partial
Sasyk 2013,13.60,4.01,7.82,0.2949,0.5750,0.5128,purple,A1,black,full
Sasyk 2013,12.01,3.81,7.98,0.3172,0.6644,0.4774,white,B1a,black,partial
Sasyk 2013,13.36,4.02,8.04,0.3009,0.6018,0.5000,white,A1,brown,partial
Sasyk 2013,13.06,3.85,7.67,0.2948,0.5873,0.5020,white,A0,NA,full
Sasyk 2013,13.93,4.38,8.28,0.3144,0.5944,0.5290,white,D0,orange,partial
Sasyk 2013,11.47,4.02,7.17,0.3505,0.6251,0.5607,white,A0,NA,partial
Sasyk 2013,10.93,3.74,7.17,0.3422,0.6560,0.5216,white,B0c,purple,full
Sasyk 2013,14.63,4.27,8.60,0.2919,0.5878,0.4965,white,D0,black,partial
Sasyk 2013,11.41,3.77,7.02,0.3304,0.6152,0.5370,white,A0,NA,partial
Sasyk 2013,12.28,4.18,7.53,0.3404,0.6132,0.5551,white,A0,NA,partial
Sasyk 2013,13.46,3.98,8.23,0.2957,0.6114,0.4836,white,A1,black,partial
Sasyk 2013,9.81,3.52,6.49,0.3588,0.6616,0.5424,white,D0,black,partial
